Type,TPM,Gene
H2K37M,268.61,BAI3
H2K37M,243.01,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,100.34,BAI3
H2K37M,83.84,BAI3
H2K37M,6.14,BAI3
H2K37M,102.17,BAI3
H2K37M,0,BAI3
H2K37M,3.2,BAI3
H2K37M,144.44,BAI3
H2K37M,100.48,BAI3
H2K37M,0,BAI3
H2K37M,107.94,BAI3
H2K37M,162.67,BAI3
H2K37M,0,BAI3
H2K37M,117.44,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,93.46,BAI3
H2K37M,38.31,BAI3
H2K37M,5.01,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,304.36,BAI3
H2K37M,50.63,BAI3
H2K37M,0,BAI3
H2K37M,65.58,BAI3
H2K37M,318.9,BAI3
H2K37M,29.31,BAI3
H2K37M,63.61,BAI3
H2K37M,0,BAI3
H2K37M,90.17,BAI3
H2K37M,103.71,BAI3
H2K37M,26.91,BAI3
H2K37M,340.43,BAI3
H2K37M,234.08,BAI3
H2K37M,468.06,BAI3
H2K37M,75.4,BAI3
H2K37M,229.42,BAI3
H2K37M,257.7,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,30.97,BAI3
H2K37M,140.05,BAI3
H2K37M,108.37,BAI3
H2K37M,0,BAI3
H2K37M,261.44,BAI3
H2K37M,314.72,BAI3
H2K37M,32.04,BAI3
H2K37M,77.39,BAI3
H2K37M,2.13,BAI3
H2K37M,0,BAI3
H2K37M,73.5,BAI3
H2K37M,77.33,BAI3
H2K37M,500.54,BAI3
H2K37M,0,BAI3
H2K37M,0.34,BAI3
H2K37M,46,BAI3
H2K37M,0,BAI3
H2K37M,12.18,BAI3
H2K37M,29.14,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,268.18,BAI3
H2K37M,2.57,BAI3
H2K37M,0,BAI3
H2K37M,3.49,BAI3
H2K37M,1.42,BAI3
H2K37M,42.28,BAI3
H2K37M,372.21,BAI3
H2K37M,1.58,BAI3
H2K37M,33.05,BAI3
H2K37M,33.92,BAI3
H2K37M,37.61,BAI3
H2K37M,268.62,BAI3
H2K37M,6.66,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,76.33,BAI3
H2K37M,0,BAI3
H2K37M,2.8,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,129.59,BAI3
H2K37M,56.46,BAI3
H2K37M,26.97,BAI3
H2K37M,10.96,BAI3
H2K37M,16.82,BAI3
H2K37M,6.08,BAI3
H2K37M,168.32,BAI3
H2K37M,176.25,BAI3
H2K37M,1.81,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,58.62,BAI3
H2K37M,218.5,BAI3
H2K37M,1.07,BAI3
H2K37M,0.64,BAI3
H2K37M,42.17,BAI3
H2K37M,0,BAI3
H2K37M,2.42,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,179.5,BAI3
H2K37M,164.4,BAI3
H2K37M,0,BAI3
H2K37M,2.12,BAI3
H2K37M,190.15,BAI3
H2K37M,5.07,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,170.66,BAI3
H2K37M,28.39,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,136.92,BAI3
H2K37M,144.53,BAI3
H2K37M,109.77,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,273.82,BAI3
H2K37M,14.12,BAI3
H2K37M,33.21,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,94.27,BAI3
H2K37M,37.43,BAI3
H2K37M,0,BAI3
H2K37M,0.55,BAI3
H2K37M,0,BAI3
H2K37M,167.04,BAI3
H2K37M,0,BAI3
H2K37M,352.98,BAI3
H2K37M,0,BAI3
H2K37M,454.39,BAI3
H2K37M,99.02,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,63.4,BAI3
H2K37M,0,BAI3
H2K37M,8.21,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,17.12,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,10.78,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,39.55,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,10.46,BAI3
H2K37M,15.46,BAI3
H2K37M,0,BAI3
H2K37M,92.98,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,51.37,BAI3
H2K37M,0,BAI3
H2K37M,37.71,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,24.46,BAI3
H2K37M,132.36,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,42.72,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,31.62,BAI3
H2K37M,2.32,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,7.93,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,42.12,BAI3
H2K37M,2.17,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,48.68,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,6,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,31.05,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,17.31,BAI3
H2K37M,0,BAI3
H2K37M,30.11,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,21.95,BAI3
H2K37M,17.38,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,12.18,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,1.34,BAI3
H2K37M,0,BAI3
H2K37M,77.96,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,29.17,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,24.28,BAI3
H2K37M,14.41,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,17.8,BAI3
H2K37M,42.17,BAI3
H2K37M,0,BAI3
H2K37M,12.36,BAI3
H2K37M,9.42,BAI3
H2K37M,64.45,BAI3
H2K37M,114.57,BAI3
H2K37M,0,BAI3
H2K37M,8.82,BAI3
H2K37M,47.21,BAI3
H2K37M,12.48,BAI3
H2K37M,0,BAI3
H2K37M,14.76,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,52.28,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,3.85,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,60.42,BAI3
H2K37M,19.62,BAI3
H2K37M,0,BAI3
H2K37M,10.49,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,18.88,BAI3
H2K37M,1.43,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,21.83,BAI3
H2K37M,31.71,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,5.6,BAI3
H2K37M,0,BAI3
H2K37M,128.77,BAI3
H2K37M,0,BAI3
H2K37M,12.67,BAI3
H2K37M,0,BAI3
H2K37M,4.97,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,22.15,BAI3
H2K37M,0,BAI3
H2K37M,8.69,BAI3
H2K37M,0,BAI3
H2K37M,3.75,BAI3
H2K37M,0,BAI3
H2K37M,4.5,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,22.57,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,7.7,BAI3
H2K37M,69.58,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,15.14,BAI3
H2K37M,0,BAI3
H2K37M,6.75,BAI3
H2K37M,22.74,BAI3
H2K37M,0,BAI3
H2K37M,9.71,BAI3
H2K37M,29.5,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0.86,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,30.2,BAI3
H2K37M,0,BAI3
H2K37M,21.25,BAI3
H2K37M,0,BAI3
H2K37M,12.12,BAI3
H2K37M,0,BAI3
H2K37M,11.24,BAI3
H2K37M,74.23,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,1.73,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,85.19,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,84.82,BAI3
H2K37M,0,BAI3
H2K37M,119.07,BAI3
H2K37M,0,BAI3
H2K37M,61.57,BAI3
H2K37M,26.02,BAI3
H2K37M,0,BAI3
H2K37M,9.2,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,33.9,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,3.55,BAI3
H2K37M,0,BAI3
H2K37M,36.98,BAI3
H2K37M,1.87,BAI3
H2K37M,0,BAI3
H2K37M,27.73,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,62.98,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,114.8,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,53.84,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,36.38,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,9.42,BAI3
H2K37M,0,BAI3
H2K37M,5.43,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,0,BAI3
H2K37M,58.14,BAI3
H2K37M,43.68,BAI3
H2K37M,0.77,BAI3
H2K37M,0,BAI3
