Type,TPM,Gene
H2K37M,4.17,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,119.67,BAIAP2
H2K37M,12.52,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,74.17,BAIAP2
H2K37M,0,BAIAP2
H2K37M,99.26,BAIAP2
H2K37M,0,BAIAP2
H2K37M,121.11,BAIAP2
H2K37M,257.36,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,211.48,BAIAP2
H2K37M,92.49,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,24.44,BAIAP2
H2K37M,33.29,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,358.35,BAIAP2
H2K37M,55.27,BAIAP2
H2K37M,0,BAIAP2
H2K37M,302.54,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,14.95,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,156.71,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,22.44,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,388.81,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,13.67,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,48.57,BAIAP2
H2K37M,0,BAIAP2
H2K37M,80.6,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,163.4,BAIAP2
H2K37M,1.38,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,105.54,BAIAP2
H2K37M,0,BAIAP2
H2K37M,96.65,BAIAP2
H2K37M,150.36,BAIAP2
H2K37M,110.81,BAIAP2
H2K37M,0,BAIAP2
H2K37M,2.1,BAIAP2
H2K37M,95,BAIAP2
H2K37M,220.16,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,8.47,BAIAP2
H2K37M,0,BAIAP2
H2K37M,3.21,BAIAP2
H2K37M,270.24,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,421.1,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,163.83,BAIAP2
H2K37M,0,BAIAP2
H2K37M,37.48,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,14.95,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,153.18,BAIAP2
H2K37M,144.9,BAIAP2
H2K37M,105.27,BAIAP2
H2K37M,1.09,BAIAP2
H2K37M,70.53,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,45.81,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,80.1,BAIAP2
H2K37M,145.11,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0.77,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,97.72,BAIAP2
H2K37M,100.02,BAIAP2
H2K37M,0,BAIAP2
H2K37M,102.15,BAIAP2
H2K37M,12.54,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,172.19,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,18.13,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,22.15,BAIAP2
H2K37M,52.91,BAIAP2
H2K37M,0,BAIAP2
H2K37M,16.76,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,33.96,BAIAP2
H2K37M,9.29,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,127.2,BAIAP2
H2K37M,45.76,BAIAP2
H2K37M,1.86,BAIAP2
H2K37M,77.36,BAIAP2
H2K37M,18.3,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,24.32,BAIAP2
H2K37M,39.06,BAIAP2
H2K37M,222.45,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,40.7,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,20.08,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,10.72,BAIAP2
H2K37M,35.89,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,369.16,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,116.6,BAIAP2
H2K37M,8.39,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,226.74,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,161.05,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,114.27,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,10.3,BAIAP2
H2K37M,200.52,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,41.36,BAIAP2
H2K37M,0,BAIAP2
H2K37M,58.31,BAIAP2
H2K37M,31.42,BAIAP2
H2K37M,6.02,BAIAP2
H2K37M,48.41,BAIAP2
H2K37M,156.47,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,58.27,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,88.49,BAIAP2
H2K37M,3.19,BAIAP2
H2K37M,0,BAIAP2
H2K37M,79.72,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,0,BAIAP2
H2K37M,54.85,BAIAP2
H2K37M,35.34,BAIAP2
H2K37M,34.76,BAIAP2
H2K37M,126.71,BAIAP2
