Type,TPM,Gene
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,4.13,BAIAP2-AS1
H2K37M,2.51,BAIAP2-AS1
H2K37M,2.14,BAIAP2-AS1
H2K37M,8.97,BAIAP2-AS1
H2K37M,3.38,BAIAP2-AS1
H2K37M,2.83,BAIAP2-AS1
H2K37M,11.86,BAIAP2-AS1
H2K37M,7.27,BAIAP2-AS1
H2K37M,5.89,BAIAP2-AS1
H2K37M,2.65,BAIAP2-AS1
H2K37M,1.68,BAIAP2-AS1
H2K37M,40.34,BAIAP2-AS1
H2K37M,3.56,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,2.25,BAIAP2-AS1
H2K37M,0.7,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,9.49,BAIAP2-AS1
H2K37M,1.3,BAIAP2-AS1
H2K37M,5.95,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,10.08,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,1.38,BAIAP2-AS1
H2K37M,7.45,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,2.14,BAIAP2-AS1
H2K37M,1.45,BAIAP2-AS1
H2K37M,9.16,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,2.92,BAIAP2-AS1
H2K37M,5.9,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,2.02,BAIAP2-AS1
H2K37M,4.67,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,21.83,BAIAP2-AS1
H2K37M,3.12,BAIAP2-AS1
H2K37M,4.39,BAIAP2-AS1
H2K37M,1.21,BAIAP2-AS1
H2K37M,1.42,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,1.54,BAIAP2-AS1
H2K37M,1.85,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,3.11,BAIAP2-AS1
H2K37M,1.22,BAIAP2-AS1
H2K37M,1.65,BAIAP2-AS1
H2K37M,1.01,BAIAP2-AS1
H2K37M,2.09,BAIAP2-AS1
H2K37M,2.53,BAIAP2-AS1
H2K37M,0.95,BAIAP2-AS1
H2K37M,1.43,BAIAP2-AS1
H2K37M,6.57,BAIAP2-AS1
H2K37M,1.45,BAIAP2-AS1
H2K37M,1.12,BAIAP2-AS1
H2K37M,0.91,BAIAP2-AS1
H2K37M,2.84,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0.68,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,0.56,BAIAP2-AS1
H2K37M,1.12,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,5.53,BAIAP2-AS1
H2K37M,1.49,BAIAP2-AS1
H2K37M,0,BAIAP2-AS1
H2K37M,1.73,BAIAP2-AS1
