Type,TPM,Gene
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,1.36,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0.81,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,12.19,BAIAP2L1
H2K37M,27.2,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,1.72,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,2.2,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0.66,BAIAP2L1
H2K37M,0.42,BAIAP2L1
H2K37M,0.96,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
H2K37M,0,BAIAP2L1
