Type,TPM,Gene
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,92.06,GRIA1
H2K37M,233.39,GRIA1
H2K37M,262.52,GRIA1
H2K37M,0,GRIA1
H2K37M,27.61,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,44.05,GRIA1
H2K37M,0,GRIA1
H2K37M,46.07,GRIA1
H2K37M,0,GRIA1
H2K37M,119.63,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,2.82,GRIA1
H2K37M,0,GRIA1
H2K37M,120.32,GRIA1
H2K37M,283.59,GRIA1
H2K37M,111.77,GRIA1
H2K37M,142.61,GRIA1
H2K37M,0,GRIA1
H2K37M,41.25,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,1.99,GRIA1
H2K37M,0,GRIA1
H2K37M,144.69,GRIA1
H2K37M,128.82,GRIA1
H2K37M,80.81,GRIA1
H2K37M,112.29,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,2.08,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,126.73,GRIA1
H2K37M,53.99,GRIA1
H2K37M,82.56,GRIA1
H2K37M,0,GRIA1
H2K37M,134.48,GRIA1
H2K37M,0,GRIA1
H2K37M,125.18,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0.6,GRIA1
H2K37M,204.21,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,230.56,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,1.72,GRIA1
H2K37M,2.05,GRIA1
H2K37M,0,GRIA1
H2K37M,5.46,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,214.24,GRIA1
H2K37M,126.95,GRIA1
H2K37M,79.41,GRIA1
H2K37M,0,GRIA1
H2K37M,183.22,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,87.77,GRIA1
H2K37M,118.34,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,85.94,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,799.55,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,119.12,GRIA1
H2K37M,1.29,GRIA1
H2K37M,0,GRIA1
H2K37M,170.55,GRIA1
H2K37M,790.02,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,93.87,GRIA1
H2K37M,0,GRIA1
H2K37M,12.02,GRIA1
H2K37M,188.68,GRIA1
H2K37M,0,GRIA1
H2K37M,163.78,GRIA1
H2K37M,0,GRIA1
H2K37M,55.29,GRIA1
H2K37M,0,GRIA1
H2K37M,133.81,GRIA1
H2K37M,184.32,GRIA1
H2K37M,109.48,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,121.04,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,218.98,GRIA1
H2K37M,0,GRIA1
H2K37M,53.82,GRIA1
H2K37M,183.5,GRIA1
H2K37M,40.05,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,95.64,GRIA1
H2K37M,24.14,GRIA1
H2K37M,222.26,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,119.23,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,352.52,GRIA1
H2K37M,0,GRIA1
H2K37M,283.84,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,134.22,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,14.84,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,31.81,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,36.3,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,46.96,GRIA1
H2K37M,0,GRIA1
H2K37M,36.67,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
H2K37M,0,GRIA1
