Type,TPM,Gene
H2K37M,18.57,NLGN3
H2K37M,0,NLGN3
H2K37M,537.46,NLGN3
H2K37M,137.91,NLGN3
H2K37M,99.17,NLGN3
H2K37M,85.66,NLGN3
H2K37M,403.24,NLGN3
H2K37M,190.44,NLGN3
H2K37M,75.57,NLGN3
H2K37M,505.57,NLGN3
H2K37M,588.49,NLGN3
H2K37M,181.71,NLGN3
H2K37M,139.76,NLGN3
H2K37M,75.97,NLGN3
H2K37M,163.76,NLGN3
H2K37M,59.86,NLGN3
H2K37M,0,NLGN3
H2K37M,0,NLGN3
H2K37M,545.18,NLGN3
H2K37M,733.77,NLGN3
H2K37M,79.75,NLGN3
H2K37M,1089.57,NLGN3
H2K37M,554.82,NLGN3
H2K37M,743.5,NLGN3
H2K37M,0,NLGN3
H2K37M,333.36,NLGN3
H2K37M,1602.15,NLGN3
H2K37M,417.28,NLGN3
H2K37M,1042.34,NLGN3
H2K37M,439.21,NLGN3
H2K37M,0,NLGN3
H2K37M,407.29,NLGN3
H2K37M,529.23,NLGN3
H2K37M,977.45,NLGN3
H2K37M,160.9,NLGN3
H2K37M,1075.4,NLGN3
H2K37M,65.58,NLGN3
H2K37M,93.77,NLGN3
H2K37M,1442.47,NLGN3
H2K37M,52.12,NLGN3
H2K37M,1839.44,NLGN3
H2K37M,667.82,NLGN3
H2K37M,297.75,NLGN3
H2K37M,58.23,NLGN3
H2K37M,279.18,NLGN3
H2K37M,478.95,NLGN3
H2K37M,0,NLGN3
H2K37M,633.27,NLGN3
H2K37M,536.82,NLGN3
H2K37M,158.52,NLGN3
H2K37M,1293.08,NLGN3
H2K37M,8.39,NLGN3
H2K37M,670.6,NLGN3
H2K37M,0,NLGN3
H2K37M,302.47,NLGN3
H2K37M,179.6,NLGN3
H2K37M,281.33,NLGN3
H2K37M,95.17,NLGN3
H2K37M,0.68,NLGN3
H2K37M,114.33,NLGN3
H2K37M,81.05,NLGN3
H2K37M,275.6,NLGN3
H2K37M,0,NLGN3
H2K37M,179.07,NLGN3
H2K37M,479.65,NLGN3
H2K37M,760.69,NLGN3
H2K37M,112.13,NLGN3
H2K37M,294.51,NLGN3
H2K37M,700.03,NLGN3
H2K37M,64.34,NLGN3
H2K37M,188.27,NLGN3
H2K37M,244.31,NLGN3
H2K37M,249.92,NLGN3
H2K37M,239.8,NLGN3
H2K37M,203.08,NLGN3
H2K37M,155.96,NLGN3
H2K37M,0,NLGN3
H2K37M,530.67,NLGN3
H2K37M,102.4,NLGN3
H2K37M,1098.69,NLGN3
H2K37M,174.54,NLGN3
H2K37M,317.27,NLGN3
H2K37M,553.93,NLGN3
H2K37M,177.05,NLGN3
H2K37M,325.16,NLGN3
H2K37M,289.59,NLGN3
H2K37M,108.62,NLGN3
H2K37M,320.14,NLGN3
H2K37M,0,NLGN3
H2K37M,145.97,NLGN3
H2K37M,76.08,NLGN3
H2K37M,446.61,NLGN3
H2K37M,10.14,NLGN3
H2K37M,1.79,NLGN3
H2K37M,0,NLGN3
H2K37M,22.56,NLGN3
H2K37M,159.64,NLGN3
H2K37M,507.49,NLGN3
H2K37M,194.59,NLGN3
H2K37M,521.83,NLGN3
H2K37M,91.21,NLGN3
H2K37M,0,NLGN3
H2K37M,280.5,NLGN3
H2K37M,412.51,NLGN3
H2K37M,556.72,NLGN3
H2K37M,2.38,NLGN3
H2K37M,5.23,NLGN3
H2K37M,215.18,NLGN3
H2K37M,361.1,NLGN3
H2K37M,809.49,NLGN3
H2K37M,163.09,NLGN3
H2K37M,294.31,NLGN3
H2K37M,660.95,NLGN3
H2K37M,1158.87,NLGN3
H2K37M,204.29,NLGN3
H2K37M,1028,NLGN3
H2K37M,2.49,NLGN3
H2K37M,222.93,NLGN3
H2K37M,245.1,NLGN3
H2K37M,218.38,NLGN3
H2K37M,519.9,NLGN3
H2K37M,152.67,NLGN3
H2K37M,735.81,NLGN3
H2K37M,102.77,NLGN3
H2K37M,157.86,NLGN3
H2K37M,46.06,NLGN3
H2K37M,314.05,NLGN3
H2K37M,140.95,NLGN3
H2K37M,3.15,NLGN3
H2K37M,185.43,NLGN3
H2K37M,330.48,NLGN3
H2K37M,86.44,NLGN3
H2K37M,36.66,NLGN3
H2K37M,132.79,NLGN3
H2K37M,29.78,NLGN3
H2K37M,67.71,NLGN3
H2K37M,12.85,NLGN3
H2K37M,125,NLGN3
H2K37M,1645.64,NLGN3
H2K37M,379.62,NLGN3
H2K37M,519.29,NLGN3
H2K37M,592.87,NLGN3
H2K37M,401.31,NLGN3
H2K37M,169.82,NLGN3
H2K37M,872.17,NLGN3
H2K37M,20.14,NLGN3
H2K37M,239.84,NLGN3
H2K37M,78.82,NLGN3
H2K37M,0,NLGN3
H2K37M,3.81,NLGN3
H2K37M,0,NLGN3
H2K37M,38.88,NLGN3
H2K37M,360.3,NLGN3
H2K37M,287.82,NLGN3
H2K37M,29.21,NLGN3
H2K37M,0,NLGN3
H2K37M,0,NLGN3
H2K37M,63.02,NLGN3
H2K37M,20.6,NLGN3
H2K37M,1351.19,NLGN3
H2K37M,50.95,NLGN3
H2K37M,88.17,NLGN3
H2K37M,73.51,NLGN3
H2K37M,261.95,NLGN3
H2K37M,110.84,NLGN3
H2K37M,0,NLGN3
H2K37M,226.24,NLGN3
H2K37M,96.9,NLGN3
