Type,TPM,Gene,
H2K37M,0,TP53,
H2K37M,39,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,2.12,TP53,
H2K37M,0.47,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,6.53,TP53,
H2K37M,0,TP53,
H2K37M,203.87,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,215.31,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,77.87,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,58.03,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,149.68,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,17.22,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,1.35,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,4.45,TP53,
H2K37M,0,TP53,
H2K37M,72.19,TP53,
H2K37M,0,TP53,
H2K37M,119.5,TP53,
H2K37M,1.92,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,2.98,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,22.12,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
