Type,TPM,Gene
Tumor,6007.7479,BAI2
Tumor,160.957,BAI2
Tumor,67.9964,BAI2
Tumor,369.4663,BAI2
Tumor,400.8511,BAI2
Tumor,319.1084,BAI2
Tumor,1069.2747,BAI2
Tumor,39.749,BAI2
Tumor,59.0157,BAI2
Tumor,698.3707,BAI2
Tumor,846.4007,BAI2
Tumor,762.13,BAI2
Tumor,663.8466,BAI2
Tumor,549.3131,BAI2
Tumor,507.6516,BAI2
Tumor,140.1006,BAI2
Tumor,2505.5153,BAI2
Tumor,1326.7045,BAI2
Tumor,265.5548,BAI2
Tumor,171.1337,BAI2
Tumor,636.9938,BAI2
Tumor,1514.8764,BAI2
Tumor,755.5468,BAI2
Tumor,17.6349,BAI2
Tumor,49.3637,BAI2
Tumor,265.8698,BAI2
Tumor,252.8036,BAI2
Tumor,103.3901,BAI2
Tumor,575.2699,BAI2
Tumor,728.3534,BAI2
Tumor,27.7552,BAI2
Tumor,175.3095,BAI2
Tumor,722.4242,BAI2
Tumor,723.1282,BAI2
Tumor,9.6919,BAI2
Tumor,1349.765,BAI2
Tumor,2859.9196,BAI2
Tumor,2947.7445,BAI2
Tumor,984.0597,BAI2
Tumor,590.6784,BAI2
Tumor,231.6054,BAI2
Tumor,2166.0939,BAI2
Tumor,358.7323,BAI2
Tumor,646.3572,BAI2
Tumor,95.2477,BAI2
Tumor,59.5457,BAI2
Tumor,172.381,BAI2
Tumor,31.7133,BAI2
Tumor,94.173,BAI2
Tumor,16.2632,BAI2
Tumor,1116.5565,BAI2
Tumor,1534.3818,BAI2
Tumor,765.625,BAI2
Tumor,125.8225,BAI2
Tumor,749.6413,BAI2
Tumor,265.781,BAI2
Tumor,101.1399,BAI2
Tumor,273.6322,BAI2
Tumor,235.163,BAI2
Tumor,270.0433,BAI2
Tumor,353.6254,BAI2
Tumor,644.5614,BAI2
Tumor,441.7287,BAI2
Tumor,726.3573,BAI2
Tumor,71.3502,BAI2
Tumor,146.2945,BAI2
Tumor,421.4378,BAI2
Tumor,458.2523,BAI2
Tumor,112.3141,BAI2
Tumor,84.4573,BAI2
Tumor,934.1463,BAI2
Tumor,14.4165,BAI2
Tumor,208.617,BAI2
Tumor,112.7954,BAI2
Tumor,484.1003,BAI2
Tumor,316.2518,BAI2
Tumor,284.1251,BAI2
Tumor,793.2285,BAI2
Tumor,689.2468,BAI2
Tumor,2457.0046,BAI2
Tumor,583.2998,BAI2
Tumor,705.0063,BAI2
Tumor,290.9139,BAI2
Tumor,1251.5176,BAI2
Tumor,1149.8004,BAI2
Tumor,63.8044,BAI2
Tumor,23.1896,BAI2
Tumor,215.6445,BAI2
Tumor,574.6777,BAI2
Tumor,168.4528,BAI2
Tumor,249.4774,BAI2
Tumor,475.6905,BAI2
Tumor,209.1833,BAI2
Tumor,708.4151,BAI2
Tumor,393.0492,BAI2
Tumor,1380.9993,BAI2
Tumor,21.1669,BAI2
Tumor,940.8702,BAI2
Tumor,207.8052,BAI2
Tumor,130.6416,BAI2
Tumor,447.9167,BAI2
Tumor,121.9691,BAI2
Tumor,310.7631,BAI2
Tumor,57.8827,BAI2
Tumor,571.3836,BAI2
Tumor,45.3258,BAI2
Tumor,109.0005,BAI2
Tumor,3595.0726,BAI2
Tumor,234.4058,BAI2
Tumor,24.755,BAI2
Tumor,37.2953,BAI2
Tumor,61.9355,BAI2
Tumor,2669.0291,BAI2
Tumor,101.448,BAI2
Tumor,176.3923,BAI2
Tumor,1235.0103,BAI2
Tumor,247.5786,BAI2
Tumor,560.5327,BAI2
Tumor,217.3913,BAI2
Tumor,958.6614,BAI2
Tumor,1124.8207,BAI2
Tumor,1776.5677,BAI2
Tumor,2011.5721,BAI2
Tumor,288.865,BAI2
Tumor,76.7888,BAI2
Normal,487.3016,BAI2
Tumor,110.5178,BAI2
Tumor,134.6154,BAI2
Normal,361.448,BAI2
Tumor,1113.001,BAI2
Tumor,392.8673,BAI2
Normal,92.668,BAI2
Tumor,200.0823,BAI2
Tumor,92.3695,BAI2
Normal,160.8247,BAI2
Tumor,296.197,BAI2
Tumor,150.7058,BAI2
Normal,175.1555,BAI2
Tumor,42.2761,BAI2
Normal,171.9802,BAI2
Tumor,567.0683,BAI2
Normal,453.843,BAI2
Tumor,588.9554,BAI2
Tumor,957.1063,BAI2
Tumor,579.2408,BAI2
Tumor,207.0364,BAI2
Tumor,105.4111,BAI2
Tumor,1086.6841,BAI2
Tumor,436.2379,BAI2
Tumor,835.9721,BAI2
Tumor,765.4634,BAI2
Tumor,791.1641,BAI2
Tumor,50.7614,BAI2
Tumor,696.3594,BAI2
Tumor,862.9645,BAI2
Tumor,6049.1538,BAI2
Tumor,1002.8705,BAI2
Tumor,877.9811,BAI2
Tumor,639.9117,BAI2
Tumor,554.7619,BAI2
Tumor,57.0525,BAI2
Tumor,188.0597,BAI2
Tumor,252.8119,BAI2
Tumor,1269.5085,BAI2
Tumor,849.7997,BAI2
Tumor,301.6477,BAI2
Tumor,565.4941,BAI2
Tumor,620.3581,BAI2
Tumor,123.9847,BAI2
Tumor,92.3496,BAI2
Tumor,1909.4932,BAI2
Tumor,260.4635,BAI2
Tumor,492.6572,BAI2
Tumor,192.4025,BAI2
Tumor,580.965,BAI2
Tumor,313.585,BAI2
Tumor,1012.3791,BAI2
Tumor,38.9849,BAI2
Tumor,96.4605,BAI2
Tumor,64.5802,BAI2
Tumor,122.9941,BAI2
Tumor,4899.4997,BAI2
Tumor,447.1137,BAI2
Tumor,86.7225,BAI2
Tumor,104.3626,BAI2
Tumor,78.6137,BAI2
Tumor,7.1809,BAI2
Tumor,539.255,BAI2
Tumor,490.0631,BAI2
Tumor,537.7747,BAI2
Tumor,610.2965,BAI2
Tumor,2063.7148,BAI2
Tumor,259.4243,BAI2
Tumor,91.8062,BAI2
Tumor,1514.1672,BAI2
