Type,TPM,Gene
DIPG-VI,4.58,BAI2
DIPG-VI,29.65,BAI2
DIPG-VI,9.8,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,13.76,BAI2
DIPG-VI,6.39,BAI2
DIPG-VI,5.74,BAI2
DIPG-VI,15.47,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,35.08,BAI2
DIPG-VI,83.73,BAI2
DIPG-VI,7.28,BAI2
DIPG-VI,7.57,BAI2
DIPG-VI,16.7,BAI2
DIPG-VI,18.92,BAI2
DIPG-VI,0,BAI2
DIPG-VI,4.38,BAI2
DIPG-VI,7.01,BAI2
DIPG-VI,0,BAI2
DIPG-VI,2.77,BAI2
DIPG-VI,10.41,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,13.3,BAI2
DIPG-VI,11.55,BAI2
DIPG-VI,23.99,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,7.67,BAI2
DIPG-VI,5.59,BAI2
DIPG-VI,21.08,BAI2
DIPG-VI,4.29,BAI2
DIPG-VI,43.67,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,8.46,BAI2
DIPG-VI,8.06,BAI2
DIPG-VI,0,BAI2
DIPG-VI,14.44,BAI2
DIPG-VI,0,BAI2
DIPG-VI,36.48,BAI2
DIPG-VI,2.76,BAI2
DIPG-VI,0,BAI2
DIPG-VI,7.01,BAI2
DIPG-VI,8.09,BAI2
DIPG-VI,5.96,BAI2
DIPG-VI,138.92,BAI2
DIPG-VI,0,BAI2
DIPG-VI,19.11,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,20.14,BAI2
DIPG-VI,5.51,BAI2
DIPG-VI,0,BAI2
DIPG-VI,24.55,BAI2
DIPG-VI,3.56,BAI2
DIPG-VI,0,BAI2
DIPG-VI,9.32,BAI2
DIPG-VI,19.81,BAI2
DIPG-VI,29.68,BAI2
DIPG-VI,0,BAI2
DIPG-VI,36.34,BAI2
DIPG-VI,26.54,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,15.23,BAI2
DIPG-VI,2.31,BAI2
DIPG-VI,1.05,BAI2
DIPG-VI,0,BAI2
DIPG-VI,28.19,BAI2
DIPG-VI,1.88,BAI2
DIPG-VI,0,BAI2
DIPG-VI,17.08,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,0,BAI2
DIPG-VI,4.51,BAI2
DIPG-VI,0.44,BAI2
