Type,TPM,Gene
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,53.79,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,2.95,BAIAP2
DIPG-VI,2.89,BAIAP2
DIPG-VI,2.42,BAIAP2
DIPG-VI,0.9,BAIAP2
DIPG-VI,36.67,BAIAP2
DIPG-VI,168.1,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,19.16,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,12,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,32.88,BAIAP2
DIPG-VI,81.58,BAIAP2
DIPG-VI,33.1,BAIAP2
DIPG-VI,13.18,BAIAP2
DIPG-VI,2.16,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,32.91,BAIAP2
DIPG-VI,24.93,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,39.6,BAIAP2
DIPG-VI,17.34,BAIAP2
DIPG-VI,12.68,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,40.13,BAIAP2
DIPG-VI,69.26,BAIAP2
DIPG-VI,26.29,BAIAP2
DIPG-VI,11.3,BAIAP2
DIPG-VI,97.94,BAIAP2
DIPG-VI,60.26,BAIAP2
DIPG-VI,1.11,BAIAP2
DIPG-VI,9.98,BAIAP2
DIPG-VI,36.48,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,19.73,BAIAP2
DIPG-VI,41.91,BAIAP2
DIPG-VI,10.43,BAIAP2
DIPG-VI,41.29,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,19.94,BAIAP2
DIPG-VI,22.12,BAIAP2
DIPG-VI,18.83,BAIAP2
DIPG-VI,13.14,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,5.85,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,50.03,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,10.62,BAIAP2
DIPG-VI,10.26,BAIAP2
DIPG-VI,7.25,BAIAP2
DIPG-VI,31.15,BAIAP2
DIPG-VI,17.64,BAIAP2
DIPG-VI,65.25,BAIAP2
DIPG-VI,0,BAIAP2
DIPG-VI,0,BAIAP2
