Type,TPM,Gene
DIPG-VI,3.39,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,3.72,BAIAP2-AS1
DIPG-VI,0.45,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,9.84,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,12.3,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0.36,BAIAP2-AS1
DIPG-VI,1.72,BAIAP2-AS1
DIPG-VI,11.62,BAIAP2-AS1
DIPG-VI,0.76,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0.82,BAIAP2-AS1
DIPG-VI,1.13,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,8.58,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
DIPG-VI,1.77,BAIAP2-AS1
DIPG-VI,11.31,BAIAP2-AS1
DIPG-VI,0,BAIAP2-AS1
