Type,TPM,Gene
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,7.15,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,35.35,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0.49,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,4.6,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0.58,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0.54,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-VI,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,173.79,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
DIPG-XIII,19.06,BAIAP2L1
DIPG-XIII,7.31,BAIAP2L1
DIPG-XIII,0,BAIAP2L1
