Type,TPM,Gene
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,10.03,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,3.59,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,14.7,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,9.51,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-VI,0,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,90.64,GRIA1
DIPG-XIII,18.95,GRIA1
DIPG-XIII,23.72,GRIA1
DIPG-XIII,17.81,GRIA1
DIPG-XIII,17.37,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,0.69,GRIA1
DIPG-XIII,14.83,GRIA1
DIPG-XIII,42.69,GRIA1
DIPG-XIII,10.43,GRIA1
DIPG-XIII,30.83,GRIA1
DIPG-XIII,30.62,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,0.62,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,9.45,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,16.11,GRIA1
DIPG-XIII,6.89,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,0,GRIA1
DIPG-XIII,33.89,GRIA1
DIPG-XIII,0,GRIA1
