Type,TPM,Gene
DIPG-VI,70.87,NLGN3
DIPG-VI,47.73,NLGN3
DIPG-VI,227.51,NLGN3
DIPG-VI,62.99,NLGN3
DIPG-VI,82.28,NLGN3
DIPG-VI,190.31,NLGN3
DIPG-VI,109.2,NLGN3
DIPG-VI,3.31,NLGN3
DIPG-VI,15.28,NLGN3
DIPG-VI,99.28,NLGN3
DIPG-VI,198.07,NLGN3
DIPG-VI,191.17,NLGN3
DIPG-VI,175.27,NLGN3
DIPG-VI,138.6,NLGN3
DIPG-VI,146.15,NLGN3
DIPG-VI,176.77,NLGN3
DIPG-VI,160.25,NLGN3
DIPG-VI,69.62,NLGN3
DIPG-VI,42.34,NLGN3
DIPG-VI,74.97,NLGN3
DIPG-VI,142.21,NLGN3
DIPG-VI,324.03,NLGN3
DIPG-VI,37.11,NLGN3
DIPG-VI,212.33,NLGN3
DIPG-VI,0,NLGN3
DIPG-VI,122.02,NLGN3
DIPG-VI,47.81,NLGN3
DIPG-VI,109.77,NLGN3
DIPG-VI,195.48,NLGN3
DIPG-VI,109.59,NLGN3
DIPG-VI,97.96,NLGN3
DIPG-VI,160.58,NLGN3
DIPG-VI,0,NLGN3
DIPG-VI,54.06,NLGN3
DIPG-VI,174.56,NLGN3
DIPG-VI,102.56,NLGN3
DIPG-VI,308.86,NLGN3
DIPG-VI,40.8,NLGN3
DIPG-VI,407.77,NLGN3
DIPG-VI,120.91,NLGN3
DIPG-VI,108.73,NLGN3
DIPG-VI,174.07,NLGN3
DIPG-VI,54.64,NLGN3
DIPG-VI,280.67,NLGN3
DIPG-VI,50.16,NLGN3
DIPG-VI,165.8,NLGN3
DIPG-VI,87.91,NLGN3
DIPG-VI,245.77,NLGN3
DIPG-VI,113.31,NLGN3
DIPG-VI,70.43,NLGN3
DIPG-VI,112.14,NLGN3
DIPG-VI,264.08,NLGN3
DIPG-VI,95.33,NLGN3
DIPG-VI,150.47,NLGN3
DIPG-VI,55.62,NLGN3
DIPG-VI,77.55,NLGN3
DIPG-VI,98.48,NLGN3
DIPG-VI,13.86,NLGN3
DIPG-VI,144.82,NLGN3
DIPG-VI,140.52,NLGN3
DIPG-VI,37.51,NLGN3
DIPG-VI,132.65,NLGN3
DIPG-VI,106.64,NLGN3
DIPG-VI,174.05,NLGN3
DIPG-VI,154.94,NLGN3
DIPG-VI,105.84,NLGN3
DIPG-VI,356.97,NLGN3
DIPG-VI,213.86,NLGN3
DIPG-VI,19.72,NLGN3
DIPG-VI,74.49,NLGN3
DIPG-VI,154.57,NLGN3
DIPG-VI,86.13,NLGN3
DIPG-VI,142.27,NLGN3
DIPG-VI,130.8,NLGN3
DIPG-VI,141.47,NLGN3
DIPG-VI,108.87,NLGN3
DIPG-VI,454.61,NLGN3
DIPG-VI,201.95,NLGN3
DIPG-VI,14.58,NLGN3
DIPG-VI,67.17,NLGN3
DIPG-VI,30.14,NLGN3
DIPG-VI,0,NLGN3
DIPG-VI,53.57,NLGN3
DIPG-VI,184.8,NLGN3
DIPG-VI,22.96,NLGN3
DIPG-VI,24.05,NLGN3
DIPG-VI,42.12,NLGN3
DIPG-VI,85.13,NLGN3
DIPG-VI,98.24,NLGN3
DIPG-VI,221.26,NLGN3
DIPG-VI,137.73,NLGN3
DIPG-VI,85.66,NLGN3
DIPG-VI,115.06,NLGN3
DIPG-VI,159.07,NLGN3
DIPG-VI,117.94,NLGN3
DIPG-VI,67.68,NLGN3
DIPG-VI,118.43,NLGN3
DIPG-VI,208.59,NLGN3
DIPG-VI,170.32,NLGN3
DIPG-VI,102.79,NLGN3
DIPG-VI,119.34,NLGN3
DIPG-VI,157.68,NLGN3
DIPG-VI,144.76,NLGN3
DIPG-VI,152.85,NLGN3
DIPG-VI,49.65,NLGN3
DIPG-VI,88.67,NLGN3
DIPG-VI,2.96,NLGN3
DIPG-VI,114.38,NLGN3
DIPG-VI,49.92,NLGN3
DIPG-VI,11.45,NLGN3
DIPG-VI,135.63,NLGN3
DIPG-VI,64.09,NLGN3
DIPG-VI,29.57,NLGN3
DIPG-VI,260.19,NLGN3
DIPG-VI,0,NLGN3
DIPG-VI,0.35,NLGN3
DIPG-VI,254.99,NLGN3
DIPG-VI,23.82,NLGN3
DIPG-VI,38.58,NLGN3
DIPG-VI,0,NLGN3
DIPG-VI,0,NLGN3
DIPG-VI,70.11,NLGN3
DIPG-VI,53.26,NLGN3
DIPG-VI,3.68,NLGN3
DIPG-VI,173.51,NLGN3
DIPG-VI,266.38,NLGN3
DIPG-VI,180.18,NLGN3
DIPG-VI,98.32,NLGN3
DIPG-VI,160.34,NLGN3
DIPG-VI,65.55,NLGN3
DIPG-VI,229.21,NLGN3
DIPG-VI,79.99,NLGN3
DIPG-VI,52.63,NLGN3
DIPG-VI,57.58,NLGN3
DIPG-VI,0.9,NLGN3
DIPG-VI,82.98,NLGN3
DIPG-VI,112.56,NLGN3
DIPG-VI,86.47,NLGN3
DIPG-VI,58.26,NLGN3
DIPG-VI,233.28,NLGN3
DIPG-VI,61.95,NLGN3
DIPG-VI,59.42,NLGN3
DIPG-VI,0,NLGN3
DIPG-VI,41.04,NLGN3
DIPG-VI,45.99,NLGN3
DIPG-VI,138.42,NLGN3
DIPG-VI,109.76,NLGN3
DIPG-VI,52.15,NLGN3
DIPG-XIII,0,NLGN3
DIPG-XIII,7.46,NLGN3
DIPG-XIII,0,NLGN3
DIPG-XIII,0,NLGN3
DIPG-XIII,61.69,NLGN3
DIPG-XIII,82.91,NLGN3
DIPG-XIII,33.59,NLGN3
DIPG-XIII,56.84,NLGN3
DIPG-XIII,0,NLGN3
DIPG-XIII,94.69,NLGN3
DIPG-XIII,35.5,NLGN3
DIPG-XIII,59.63,NLGN3
DIPG-XIII,0,NLGN3
DIPG-XIII,120.26,NLGN3
DIPG-XIII,0,NLGN3
DIPG-XIII,5.97,NLGN3
DIPG-XIII,100.47,NLGN3
DIPG-XIII,70.68,NLGN3
DIPG-XIII,0,NLGN3
