Gene,TPM
GIPC1_VI,57.41
GIPC1_VI,28.46
GIPC1_VI,41.92
GIPC1_VI,0
GIPC1_VI,0.73
GIPC1_VI,25.99
GIPC1_VI,0.8
GIPC1_VI,32.21
GIPC1_VI,0
GIPC1_VI,11.93
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,4.57
GIPC1_VI,16.65
GIPC1_VI,0
GIPC1_VI,23.83
GIPC1_VI,14.52
GIPC1_VI,0
GIPC1_VI,2.97
GIPC1_VI,13.07
GIPC1_VI,23.86
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,1.26
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,7.82
GIPC1_VI,38.05
GIPC1_VI,78.53
GIPC1_VI,51.96
GIPC1_VI,32.81
GIPC1_VI,33.05
GIPC1_VI,0
GIPC1_VI,30.85
GIPC1_VI,0
GIPC1_VI,46.3
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,23.4
GIPC1_VI,76.56
GIPC1_VI,10.45
GIPC1_VI,10.51
GIPC1_VI,8.29
GIPC1_VI,22.23
GIPC1_VI,0
GIPC1_VI,38.45
GIPC1_VI,8.68
GIPC1_VI,0
GIPC1_VI,12.2
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,9.82
GIPC1_VI,93.32
GIPC1_VI,35.38
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,11.71
GIPC1_VI,234.55
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,28.39
GIPC1_VI,70.4
GIPC1_VI,0
GIPC1_VI,31.3
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,9.99
GIPC1_VI,0
GIPC1_VI,24.61
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,5.8
GIPC1_VI,31.2
GIPC1_VI,2.67
GIPC1_VI,27.71
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,61.61
GIPC1_VI,32.23
GIPC1_VI,0
GIPC1_VI,1.56
GIPC1_VI,45.92
GIPC1_VI,0
GIPC1_VI,21.15
GIPC1_VI,0
GIPC1_VI,15.84
GIPC1_VI,16.74
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,2.79
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,71.98
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,9.56
GIPC1_VI,0
GIPC1_VI,115.88
GIPC1_VI,32.02
GIPC1_VI,57.34
GIPC1_VI,0
GIPC1_VI,10.58
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,39.74
GIPC1_VI,43.9
GIPC1_VI,20.29
GIPC1_VI,46.08
GIPC1_VI,12.34
GIPC1_VI,0
GIPC1_VI,30.23
GIPC1_VI,52
GIPC1_VI,31.93
GIPC1_VI,71.99
GIPC1_VI,0
GIPC1_VI,64.57
GIPC1_VI,5.63
GIPC1_VI,27.6
GIPC1_VI,39.63
GIPC1_VI,55.29
GIPC1_VI,9.92
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,46.75
GIPC1_VI,0
GIPC1_VI,36.85
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,3.4
GIPC1_VI,0
GIPC1_VI,0
GIPC1_VI,43.38
GIPC1_VI,25.79
GIPC1_VI,20.44
GIPC1_VI,0
GIPC1_XIII,11.87
GIPC1_XIII,5.89
GIPC1_XIII,0
GIPC1_XIII,17.65
GIPC1_XIII,9.36
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,51.61
GIPC1_XIII,49.19
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,6.93
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,74.14
GIPC1_XIII,9.25
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,52.95
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,50.25
GIPC1_XIII,11.47
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,33.83
GIPC1_XIII,0
GIPC1_XIII,253.67
GIPC1_XIII,3.41
GIPC1_XIII,0
GIPC1_XIII,1.26
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,69.99
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,13.65
GIPC1_XIII,15.41
GIPC1_XIII,0
GIPC1_XIII,15.92
GIPC1_XIII,0
GIPC1_XIII,38.74
GIPC1_XIII,8.14
GIPC1_XIII,49.73
GIPC1_XIII,76.7
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,39.38
GIPC1_XIII,10.83
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,69.11
GIPC1_XIII,46.7
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,18.91
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,1.95
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,66.38
GIPC1_XIII,67.4
GIPC1_XIII,7
GIPC1_XIII,0
GIPC1_XIII,0
GIPC1_XIII,0
