Gene,TPM
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,15.53
Stard13_VI,0
Stard13_VI,0.37
Stard13_VI,0
Stard13_VI,0
Stard13_VI,29.42
Stard13_VI,0.35
Stard13_VI,2.73
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0.26
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,11.46
Stard13_VI,1.28
Stard13_VI,23.77
Stard13_VI,0
Stard13_VI,0
Stard13_VI,2.45
Stard13_VI,0
Stard13_VI,27.28
Stard13_VI,9.25
Stard13_VI,0
Stard13_VI,0
Stard13_VI,15.15
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,21.06
Stard13_VI,25.72
Stard13_VI,0.62
Stard13_VI,1.37
Stard13_VI,0
Stard13_VI,2.42
Stard13_VI,0
Stard13_VI,0
Stard13_VI,6.69
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,2.9
Stard13_VI,33.92
Stard13_VI,0.67
Stard13_VI,0.99
Stard13_VI,0
Stard13_VI,2.72
Stard13_VI,2.42
Stard13_VI,0.26
Stard13_VI,8.17
Stard13_VI,0
Stard13_VI,41.19
Stard13_VI,0
Stard13_VI,6.67
Stard13_VI,1.95
Stard13_VI,0
Stard13_VI,3.15
Stard13_VI,0
Stard13_VI,0.28
Stard13_VI,0.27
Stard13_VI,0
Stard13_VI,0
Stard13_VI,1.82
Stard13_VI,1.64
Stard13_VI,0.65
Stard13_VI,50.76
Stard13_VI,18.57
Stard13_VI,12.38
Stard13_VI,0
Stard13_VI,0
Stard13_VI,18.56
Stard13_VI,2.51
Stard13_VI,0.64
Stard13_VI,35.83
Stard13_VI,0
Stard13_VI,0
Stard13_VI,2.28
Stard13_VI,0.93
Stard13_VI,0
Stard13_VI,0
Stard13_VI,1.89
Stard13_VI,6.49
Stard13_VI,0
Stard13_VI,3.09
Stard13_VI,4.76
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0.27
Stard13_VI,0
Stard13_VI,9.78
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,57.07
Stard13_VI,0
Stard13_VI,4.6
Stard13_VI,1.54
Stard13_VI,32
Stard13_VI,17.65
Stard13_VI,2.74
Stard13_VI,32.46
Stard13_VI,9.88
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,7.63
Stard13_VI,0
Stard13_VI,0
Stard13_VI,4.32
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,2.39
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,27.67
Stard13_VI,5.34
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0.48
Stard13_VI,5.06
Stard13_VI,0
Stard13_VI,5.54
Stard13_VI,7.84
Stard13_VI,16.54
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
Stard13_VI,0
